tweet_id,name,rating_numerator,rating_denominator,stages
890240255349198849,Cassie,14.0,10,doggo
884162670584377345,Yogi,12.0,10,doggo
872967104147763200,None,12.0,10,doggo
871515927908634625,Napolean,12.0,10,doggo
871102520638267392,None,14.0,10,doggo
869596645499047938,Scout,12.0,10,doggo
858843525470990336,None,13.0,10,doggo
855851453814013952,None,13.0,10,doggo
854010172552949760,None,11.0,10,doggo
846514051647705089,Barney,13.0,10,doggo
845397057150107648,Mimosa,13.0,10,doggo
836753516572119041,Meera,12.0,10,doggo
834574053763584002,None,13.0,10,doggo
834089966724603904,None,10.0,10,doggo
832998151111966721,Rhino,13.0,10,doggo
832273440279240704,Smiley,14.0,10,doggo
832032802820481025,Miguel,12.0,10,doggo
831939777352105988,Emanuel,12.0,10,doggo
831322785565769729,Pete,12.0,10,doggo
829449946868879360,None,11.0,10,doggo
828381636999917570,Doobert,14.0,10,doggo
826958653328592898,Loki,12.0,10,doggo
826848821049180160,Cupid,13.0,10,doggo
826476773533745153,Pilot,12.0,10,doggo
826204788643753985,None,13.0,10,doggo
821765923262631936,Duchess,13.0,10,doggo
821407182352777218,Sundance,14.0,10,doggo
821107785811234820,None,11.0,10,doggo
819924195358416896,None,11.0,10,doggo
819006400881917954,Sunny,14.0,10,doggo
819004803107983360,Bo,14.0,10,doggo
817777686764523521,Dido,13.0,10,doggo
813910438903693312,Chubbs,11.0,10,doggo
813202720496779264,None,11.0,10,doggo
813127251579564032,None,11.0,10,doggo
813096984823349248,Rocky,11.0,10,doggo
808106460588765185,None,12.0,10,doggo
801115127852503040,Bones,12.0,10,doggo
800018252395122689,None,11.0,10,doggo
799757965289017345,Sobe,13.0,10,doggo
796484825502875648,None,12.0,10,doggo
795464331001561088,None,13.0,10,doggo
786363235746385920,Rizzo,13.0,10,doggo
785639753186217984,Pinot,10.0,10,doggo
782747134529531904,Deacon,11.0,10,doggo
782305867769217024,Sampson,12.0,10,doggo
781655249211752448,Combo,11.0,10,doggo
781308096455073793,None,12.0,10,doggo
780074436359819264,None,10.0,10,doggo
775733305207554048,Anakin,11.0,10,doggo
775364825476165632,Finley,11.0,10,doggo
771908950375665664,None,13.0,10,doggo
